tabela;arquivo;linha;ponto_execucao;barreira_detectada;pistas;cardinalidade;classificacao;justificativa
material_history;src/app/api/materials/route.ts;773;await;NENHUMA;range+countExact;10803 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 10803 linhas no maior tenant
material_history;src/app/api/stock-transfers/route.ts;1097;callback;NENHUMA;-;10803 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 10803 linhas no maior tenant
material_history;src/app/api/team-stock-operations/route.ts;1187;callback;NENHUMA;-;10803 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 10803 linhas no maior tenant
stock_transfer_items;src/app/api/consumo-projeto/route.ts;307;await;NENHUMA;inFilter;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
stock_transfer_items;src/app/api/dash-estoque/route.ts;435;await;NENHUMA;inFilter;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
stock_transfer_items;src/app/api/estornos/route.ts;293;await;NENHUMA;inFilter;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
stock_transfer_items;src/app/api/materials/route.ts;465;await;NENHUMA;limit;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
stock_transfer_items;src/app/api/materials/route.ts;1030;await;NENHUMA;inFilter;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
stock_transfer_items;src/app/api/stock-balance/route.ts;847;await;NENHUMA;chunk+inFilter;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
stock_transfer_items;src/app/api/stock-transfers/reversal/route.ts;181;await;NENHUMA;inFilter;7976 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 7976 linhas no maior tenant
